来源,序号/名称,标题/名称,提取名,新提取餐厅/地点名,原因分类,原因详情,按新规则处理,原帖链接,作者小红书号
微信餐厅,中国饭店,中国饭店,中国饭店,中国饭店,Yandex/Google均无可采信结果,,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,温州饭店,温州饭店,温州饭店,温州饭店,Yandex未找到明确地点详情页,Yandex状态=未确认; 备注=未找到带坐标的Yandex地点详情页,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,sakura樱花烤肉自助餐厅,sakura樱花烤肉自助餐厅,sakura樱花烤肉自助餐厅,sakura樱花烤肉自助餐厅,Yandex有候选详情页但无可采信坐标,Yandex状态=未确认; 备注=有Yandex地点详情页候选，但页面未提供可采信坐标或只是列表候选,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,东方红餐厅,东方红餐厅,东方红餐厅,东方红餐厅,Yandex未找到明确地点详情页,Yandex状态=未确认; 备注=未找到带坐标的Yandex地点详情页,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,中国烧烤,中国烧烤,中国烧烤,中国烧烤,Yandex有候选详情页但无可采信坐标,Yandex状态=未确认; 备注=有Yandex地点详情页候选，但页面未提供可采信坐标或只是列表候选,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,念家湘湘菜馆,念家湘湘菜馆,念家湘湘菜馆,念家湘湘菜馆,Yandex未找到明确地点详情页,Yandex状态=未确认; 备注=未找到带坐标的Yandex地点详情页,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,沙县小吃,沙县小吃,沙县小吃,沙县小吃,Yandex有候选详情页但无可采信坐标,Yandex状态=未确认; 备注=有Yandex地点详情页候选，但页面未提供可采信坐标或只是列表候选,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,唐朝饭店,唐朝饭店,唐朝饭店,唐朝饭店,Yandex有候选详情页但无可采信坐标,Yandex状态=未确认; 备注=有Yandex地点详情页候选，但页面未提供可采信坐标或只是列表候选,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,乌鲁木齐餐厅,乌鲁木齐餐厅,乌鲁木齐餐厅,乌鲁木齐餐厅,Yandex有候选详情页但无可采信坐标,Yandex状态=未确认; 备注=有Yandex地点详情页候选，但页面未提供可采信坐标或只是列表候选,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,Avenue中国串串,Avenue中国串串,Avenue中国串串,Avenue中国串串,Yandex有候选详情页但无可采信坐标,Yandex状态=未确认; 备注=有Yandex地点详情页候选，但页面未提供可采信坐标或只是列表候选,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,都来顺面馆,都来顺面馆,都来顺面馆,都来顺面馆,Yandex有候选详情页但无可采信坐标,Yandex状态=未确认; 备注=有Yandex地点详情页候选，但页面未提供可采信坐标或只是列表候选,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,塔什干《忆湖湘》湘菜馆,塔什干《忆湖湘》湘菜馆,塔什干《忆湖湘》湘菜馆,塔什干《忆湖湘》湘菜馆,Yandex有候选详情页但无可采信坐标,Yandex状态=未确认; 备注=有Yandex地点详情页候选，但页面未提供可采信坐标或只是列表候选,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,塔什干川蓉燚中餐厅,塔什干川蓉燚中餐厅,塔什干川蓉燚中餐厅,塔什干川蓉燚中餐厅,Yandex有候选详情页但无可采信坐标,Yandex状态=未确认; 备注=有Yandex地点详情页候选，但页面未提供可采信坐标或只是列表候选,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,中国四千年喇家拉面,中国四千年喇家拉面,中国四千年喇家拉面,中国四千年喇家拉面,Yandex有候选详情页但无可采信坐标,Yandex状态=未确认; 备注=有Yandex地点详情页候选，但页面未提供可采信坐标或只是列表候选,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,福建餐厅,福建餐厅,福建餐厅,福建餐厅,Yandex有候选详情页但无可采信坐标,Yandex状态=未确认; 备注=有Yandex地点详情页候选，但页面未提供可采信坐标或只是列表候选,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,友谊饭店,友谊饭店,友谊饭店,友谊饭店,Yandex有候选详情页但无可采信坐标,Yandex状态=未确认; 备注=有Yandex地点详情页候选，但页面未提供可采信坐标或只是列表候选,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,中乌饭店,中乌饭店,中乌饭店,中乌饭店,Yandex未找到明确地点详情页,Yandex状态=未确认; 备注=未找到带坐标的Yandex地点详情页,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,成都饭店,成都饭店,成都饭店,成都饭店,Yandex未找到明确地点详情页,Yandex状态=未确认; 备注=未找到带坐标的Yandex地点详情页,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,亲亲面馆,亲亲面馆,亲亲面馆,亲亲面馆,Yandex有候选详情页但无可采信坐标,Yandex状态=未确认; 备注=有Yandex地点详情页候选，但页面未提供可采信坐标或只是列表候选,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,川湘食府,川湘食府,川湘食府,川湘食府,Yandex未找到明确地点详情页,Yandex状态=未确认; 备注=未找到带坐标的Yandex地点详情页,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,百顺餐厅,百顺餐厅,百顺餐厅,百顺餐厅,Yandex有候选详情页但无可采信坐标,Yandex状态=未确认; 备注=有Yandex地点详情页候选，但页面未提供可采信坐标或只是列表候选,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,长沙饭店,长沙饭店,长沙饭店,长沙饭店,Yandex有候选详情页但无可采信坐标,Yandex状态=未确认; 备注=有Yandex地点详情页候选，但页面未提供可采信坐标或只是列表候选,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,长安巷·融合菜,长安巷·融合菜,长安巷·融合菜,长安巷·融合菜,Yandex未找到明确地点详情页,Yandex状态=未确认; 备注=未找到带坐标的Yandex地点详情页,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,成都蜀味汤火锅,成都蜀味汤火锅,成都蜀味汤火锅,成都蜀味汤火锅,Yandex未找到明确地点详情页,Yandex状态=未确认; 备注=未找到带坐标的Yandex地点详情页,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,爱斯塔Asta音乐餐厅 韩国街店,爱斯塔Asta音乐餐厅 韩国街店,爱斯塔Asta音乐餐厅 韩国街店,爱斯塔Asta音乐餐厅 韩国街店,Yandex有候选详情页但无可采信坐标,Yandex状态=未确认; 备注=有Yandex地点详情页候选，但页面未提供可采信坐标或只是列表候选,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,西南川菜馆,西南川菜馆,西南川菜馆,西南川菜馆,Yandex未找到明确地点详情页,Yandex状态=未确认; 备注=未找到带坐标的Yandex地点详情页,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,百味餐厅,百味餐厅,百味餐厅,百味餐厅,Yandex有候选详情页但无可采信坐标,Yandex状态=未确认; 备注=有Yandex地点详情页候选，但页面未提供可采信坐标或只是列表候选,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,来福餐厅,来福餐厅,来福餐厅,来福餐厅,Yandex有候选详情页但无可采信坐标,Yandex状态=未确认; 备注=有Yandex地点详情页候选，但页面未提供可采信坐标或只是列表候选,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,VINO GALAXY 酒水管家,VINO GALAXY 酒水管家,VINO GALAXY 酒水管家,VINO GALAXY 酒水管家,Yandex未找到明确地点详情页,Yandex状态=未确认; 备注=未找到带坐标的Yandex地点详情页,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,包子客牛肉汤包,包子客牛肉汤包,包子客牛肉汤包,包子客牛肉汤包,Yandex未找到明确地点详情页,Yandex状态=未确认; 备注=未找到带坐标的Yandex地点详情页,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,永福餐厅,永福餐厅,永福餐厅,永福餐厅,Yandex有候选详情页但无可采信坐标,Yandex状态=未确认; 备注=有Yandex地点详情页候选，但页面未提供可采信坐标或只是列表候选,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,川渝私房菜（东方明珠酒店）,川渝私房菜（东方明珠酒店）,川渝私房菜（东方明珠酒店）,川渝私房菜（东方明珠酒店）,Yandex未找到明确地点详情页,Yandex状态=未确认; 备注=未找到带坐标的Yandex地点详情页,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,土窑烧烤,土窑烧烤,土窑烧烤,土窑烧烤,Yandex未找到明确地点详情页,Yandex状态=未确认; 备注=未找到带坐标的Yandex地点详情页,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,万记川湘菜,万记川湘菜,万记川湘菜,万记川湘菜,Yandex未找到明确地点详情页,Yandex状态=未确认; 备注=未找到带坐标的Yandex地点详情页,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,阿尔马雷克市好运中餐厅,阿尔马雷克市好运中餐厅,阿尔马雷克市好运中餐厅,阿尔马雷克市好运中餐厅,Yandex未找到明确地点详情页,Yandex状态=未确认; 备注=未找到带坐标的Yandex地点详情页,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,长安大饭店,长安大饭店,长安大饭店,长安大饭店,Yandex未找到明确地点详情页,Yandex状态=未确认; 备注=未找到带坐标的Yandex地点详情页,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,CBF撒马尔罕中餐厅,CBF撒马尔罕中餐厅,CBF撒马尔罕中餐厅,CBF撒马尔罕中餐厅,Yandex有候选详情页但无可采信坐标,Yandex状态=未确认; 备注=有Yandex地点详情页候选，但页面未提供可采信坐标或只是列表候选,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,撒马尔罕新疆风味餐厅,撒马尔罕新疆风味餐厅,撒马尔罕新疆风味餐厅,撒马尔罕新疆风味餐厅,Yandex未找到明确地点详情页,Yandex状态=未确认; 备注=未找到带坐标的Yandex地点详情页,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,布哈拉新疆餐厅,布哈拉新疆餐厅,布哈拉新疆餐厅,布哈拉新疆餐厅,Yandex有候选详情页但无可采信坐标,Yandex状态=未确认; 备注=有Yandex地点详情页候选，但页面未提供可采信坐标或只是列表候选,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,安集延国际酒店中餐厅（川湘菜）,安集延国际酒店中餐厅（川湘菜）,安集延国际酒店中餐厅（川湘菜）,安集延国际酒店中餐厅（川湘菜）,Yandex未找到明确地点详情页,Yandex状态=未确认; 备注=未找到带坐标的Yandex地点详情页,保留-有可用餐厅/地点名，继续地图查询,微信文章,
